date,AAVEUSDT,BTCUSDT,ETHUSDT,LTCUSDT,SOLUSDT,UNIUSDT
2022-02-02 22:40:00,-0.9988853335380554,-0.001064611948095262,0.03193216398358345,0.3813300132751465,9.48470401763916,1.1721551418304443
2022-02-02 22:45:00,0.3196253776550293,7.869100227253512e-05,-0.09172229468822479,0.7265560626983643,-6.986844062805176,1.0681688785552979
2022-02-02 22:50:00,0.5892856121063232,0.008698608726263046,0.07991961389780045,-0.8907943964004517,8.083076477050781,-2.3463804721832275
2022-02-02 22:55:00,-0.7263872027397156,-0.0006454079994000494,0.02597496472299099,-0.6026239991188049,-4.0815510749816895,8.34603500366211
2022-02-02 23:00:00,-0.6770982146263123,0.0010760650038719177,-0.07542811334133148,0.7260280847549438,-1.3039541244506836,-3.851799488067627
2022-02-02 23:05:00,-0.30253171920776367,0.002898125909268856,-0.03139287233352661,0.3106776475906372,2.086869478225708,-7.725417137145996
2022-02-02 23:10:00,0.08075594902038574,-0.004737732000648975,0.0836583748459816,-0.7290382385253906,-0.9900999069213867,-5.346752166748047
2022-02-02 23:15:00,-0.6010007262229919,0.00033450601040385664,-0.0299370177090168,-0.8055460453033447,-1.7431002855300903,1.078801155090332
2022-02-02 23:20:00,-0.7247800827026367,-0.005878005176782608,0.09967382252216339,0.1892385482788086,3.601231575012207,-4.4173431396484375
2022-02-02 23:25:00,-0.6993733644485474,0.0023245569318532944,-0.045630089938640594,-0.7095918655395508,-0.901833176612854,0.8923745155334473
2022-02-02 23:30:00,0.18270444869995117,0.009328437969088554,0.05494127422571182,-0.08049124479293823,8.439945220947266,-2.374506711959839
2022-02-02 23:35:00,0.11925327777862549,-0.0017431610031053424,0.08869291841983795,-0.3260487914085388,6.671667098999023,-3.0655126571655273
2022-02-02 23:40:00,0.7823588848114014,-0.008962881751358509,0.011718369089066982,0.467531681060791,-8.45039176940918,-5.244441032409668
2022-02-02 23:45:00,0.5914580821990967,-0.008937839418649673,0.08693399280309677,0.3996760845184326,1.383066177368164,2.6310205459594727
2022-02-02 23:50:00,0.5360126495361328,0.0035263129975646734,-0.05038796737790108,0.4756186008453369,0.9127318859100342,2.0078372955322266
2022-02-02 23:55:00,0.5941054821014404,0.0033581769093871117,-0.0647793859243393,-0.5327613353729248,2.850933074951172,2.887856960296631
2022-02-03 00:00:00,0.8488707542419434,0.0006372869829647243,-0.04066736623644829,0.06350505352020264,8.65868091583252,-0.585896372795105
2022-02-03 00:05:00,0.866873025894165,0.008685115724802017,0.09390318393707275,-0.12346404790878296,9.622343063354492,-8.037216186523438
2022-02-03 00:10:00,-0.05087810754776001,0.00884878821671009,0.05147373676300049,0.7161258459091187,0.8736538887023926,4.976792335510254
2022-02-03 00:15:00,-0.5703644752502441,-0.004334114026278257,-0.040431249886751175,0.2958794832229614,-2.136941432952881,-9.313403129577637
2022-02-03 00:20:00,-0.8960331082344055,-0.009948729537427425,0.03734457492828369,0.7175203561782837,8.860793113708496,3.664405345916748
2022-02-03 00:25:00,0.29336416721343994,-0.003596971044316888,0.015534031204879284,0.9221892356872559,-4.036575794219971,6.989686489105225
2022-02-03 00:30:00,-0.9448243975639343,-0.006548735778778791,0.04511161893606186,0.45060133934020996,0.29186367988586426,9.634517669677734
2022-02-03 00:35:00,-0.9018211960792542,0.0026215650141239166,0.00501203490421176,0.9855437278747559,-3.5633277893066406,7.305340766906738
2022-02-03 00:40:00,0.7952440977096558,0.009244675748050213,-0.09010599553585052,0.7108484506607056,4.209301471710205,-0.8183372020721436
2022-02-03 00:45:00,0.981468915939331,0.00896064005792141,0.0966121181845665,-0.5613037943840027,1.943826675415039,-7.624666213989258
2022-02-03 00:50:00,-0.2828329801559448,0.0074461461044847965,-0.04367298632860184,0.18780875205993652,5.394327640533447,1.866443157196045
2022-02-03 00:55:00,-0.28302448987960815,-0.002174670109525323,-0.06696660816669464,0.7726885080337524,4.595272541046143,7.651357650756836
2022-02-03 01:00:00,0.16086316108703613,-0.00934686604887247,0.03360607475042343,0.20108842849731445,7.921957969665527,-4.0712809562683105
2022-02-03 01:05:00,0.8388209342956543,0.0026639210991561413,-0.015591763891279697,-0.2389298677444458,6.601076126098633,-8.72726821899414
2022-02-03 01:10:00,-0.4602954387664795,-0.0012233390007168055,-0.011284679174423218,0.15682435035705566,1.0872650146484375,2.406299114227295
2022-02-03 01:15:00,-0.024847030639648438,-0.009807944297790527,-0.07595407217741013,-0.9093017578125,-4.836738109588623,-5.415443420410156
2022-02-03 01:20:00,0.7014741897583008,-0.008823319338262081,-0.029735833406448364,-0.3312145471572876,-3.266991376876831,1.9331705570220947
2022-02-03 01:25:00,0.7858402729034424,-0.008430203422904015,-0.01477697491645813,0.07811093330383301,9.025986671447754,-1.1047661304473877
2022-02-03 01:30:00,0.43086230754852295,0.004051561001688242,0.010580766014754772,0.02937150001525879,7.210524082183838,4.127490520477295
2022-02-03 01:35:00,-0.5549601316452026,0.008984343148767948,-0.0037380699068307877,0.47214627265930176,-3.6302149295806885,9.482446670532227
2022-02-03 01:40:00,-0.06520313024520874,-0.00335421203635633,0.04808560758829117,-0.236716628074646,-9.680291175842285,-3.4231913089752197
2022-02-03 01:45:00,-0.2590670585632324,0.0029970789328217506,-0.038414716720581055,-0.30042827129364014,2.520490884780884,-5.055145740509033
2022-02-03 01:50:00,-0.7586602568626404,-0.004161632154136896,-0.09977811574935913,0.490187406539917,1.1512088775634766,-6.745707988739014
2022-02-03 01:55:00,-0.9641165137290955,-0.004991657100617886,0.047284603118896484,-0.5459034442901611,3.597743511199951,-0.0741887092590332
