account_value,date
9879.016148675782,2023-03-24 06:10:00
9797.571739496094,2023-03-24 06:15:00
9812.574656976563,2023-03-24 06:20:00
9831.864122308592,2023-03-24 06:25:00
9845.795402826172,2023-03-24 06:30:00
9845.795402826172,2023-03-24 06:35:00
9845.795402826172,2023-03-24 06:40:00
9642.184379876953,2023-03-24 06:45:00
9701.124412835938,2023-03-24 06:50:00
9644.327653802733,2023-03-24 06:55:00
9715.055693353515,2023-03-24 07:00:00
9778.282274164061,2023-03-24 07:05:00
9778.282274164061,2023-03-24 07:10:00
9788.99864379297,2023-03-24 07:15:00
9820.076115716796,2023-03-24 07:20:00
9820.076115716796,2023-03-24 07:25:00
9852.225224603517,2023-03-24 07:30:00
9825.434300531251,2023-03-24 07:35:00
9842.5804919375,2023-03-24 07:40:00
9841.508854974609,2023-03-24 07:45:00
9841.508854974609,2023-03-24 07:50:00
9841.508854974609,2023-03-24 07:55:00
9834.007396234376,2023-03-24 08:00:00
9797.571739496094,2023-03-24 08:05:00
9793.28519164453,2023-03-24 08:10:00
9745.061528314454,2023-03-24 08:15:00
9766.494267572265,2023-03-24 08:20:00
9766.494267572265,2023-03-24 08:25:00
9766.494267572265,2023-03-24 08:30:00
9766.494267572265,2023-03-24 08:35:00
9701.124412835938,2023-03-24 08:40:00
9701.124412835938,2023-03-24 08:45:00
9730.058610833985,2023-03-24 08:50:00
9763.279356683594,2023-03-24 08:55:00
9749.348076166016,2023-03-24 09:00:00
9703.26768676172,2023-03-24 09:05:00
9849.010313714844,2023-03-24 09:10:00
9853.296861566405,2023-03-24 09:15:00
9831.864122308592,2023-03-24 09:20:00
9879.016148675782,2023-03-24 09:25:00
9909.021983636718,2023-03-24 09:30:00
9850.081950677733,2023-03-24 09:35:00
9850.081950677733,2023-03-24 09:40:00
9819.004478753906,2023-03-24 09:45:00
9788.99864379297,2023-03-24 09:50:00
9788.99864379297,2023-03-24 09:55:00
9760.06444579492,2023-03-24 10:00:00
9730.058610833985,2023-03-24 10:05:00
9672.19021483789,2023-03-24 10:10:00
9709.697508539062,2023-03-24 10:15:00
9730.058610833985,2023-03-24 10:20:00
9730.058610833985,2023-03-24 10:25:00
9730.058610833985,2023-03-24 10:30:00
